vinculo_id,regiao,candidate_event_id,geometry_id,geometry_type,patch_id,classe_vinculo,vinculo_forte,review_only,justificativa_tecnica
S18A_LINK_0033,PET,S17C_REF_0040,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0034,PET,S17C_REF_0041,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0035,PET,S17C_REF_0042,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0036,CUR,S17C_REF_0043,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0037,PET,S17C_REF_0045,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0038,CUR,S17C_REF_0048,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0039,CUR,S17C_REF_0049,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0040,PET,S17C_REF_0050,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0041,PET,S17C_REF_0057,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0042,PET,S17C_REF_0058,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0043,PET,S17C_REF_0059,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0044,CUR,S17C_REF_0060,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0045,CUR,S17C_REF_0061,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
S18A_LINK_0046,CUR,S17C_REF_0062,not_available,none,not_available,same_region_only,false,true,"sem geometria oficial forte para o evento; vinculo apenas regional, nao forte; insuficiente para patch-link forte"
