adjudication_id,package_id,adjudication_status,trigger_condition,reviewer_a_status,reviewer_b_status,conflict_type,required_adjudicator_action,can_promote_after_adjudication,still_requires_external_evidence
ADJ_v2ai_00010,EPC_v1us_00010,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00011,EPC_v1us_00011,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00012,EPC_v1us_00012,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00013,EPC_v1us_00013,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00014,EPC_v1us_00014,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00015,EPC_v1us_00015,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00016,EPC_v1us_00016,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00017,EPC_v1us_00017,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00018,EPC_v1us_00018,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00019,EPC_v1us_00019,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00020,EPC_v1us_00020,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00021,EPC_v1us_00021,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00022,EPC_v1us_00022,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00023,EPC_v1us_00023,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00024,EPC_v1us_00024,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00025,EPC_v1us_00025,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00026,EPC_v1us_00026,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00027,EPC_v1us_00027,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00028,EPC_v1us_00028,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00029,EPC_v1us_00029,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00030,EPC_v1us_00030,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00031,EPC_v1us_00031,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00032,EPC_v1us_00032,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00033,EPC_v1us_00033,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00034,EPC_v1us_00034,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00035,EPC_v1us_00035,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00036,EPC_v1us_00036,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00037,EPC_v1us_00037,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00038,EPC_v1us_00038,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00039,EPC_v1us_00039,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00040,EPC_v1us_00040,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00041,EPC_v1us_00041,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00042,EPC_v1us_00042,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00043,EPC_v1us_00043,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00044,EPC_v1us_00044,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00045,EPC_v1us_00045,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00046,EPC_v1us_00046,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00047,EPC_v1us_00047,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00048,EPC_v1us_00048,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00049,EPC_v1us_00049,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00050,EPC_v1us_00050,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00051,EPC_v1us_00051,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00052,EPC_v1us_00052,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00053,EPC_v1us_00053,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00054,EPC_v1us_00054,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00055,EPC_v1us_00055,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00056,EPC_v1us_00056,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00057,EPC_v1us_00057,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00058,EPC_v1us_00058,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00059,EPC_v1us_00059,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00060,EPC_v1us_00060,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00061,EPC_v1us_00061,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00062,EPC_v1us_00062,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00063,EPC_v1us_00063,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00064,EPC_v1us_00064,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00065,EPC_v1us_00065,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00066,EPC_v1us_00066,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00067,EPC_v1us_00067,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00068,EPC_v1us_00068,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00069,EPC_v1us_00069,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00070,EPC_v1us_00070,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00071,EPC_v1us_00071,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00072,EPC_v1us_00072,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00073,EPC_v1us_00073,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00074,EPC_v1us_00074,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00075,EPC_v1us_00075,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00076,EPC_v1us_00076,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00077,EPC_v1us_00077,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00078,EPC_v1us_00078,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00079,EPC_v1us_00079,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00080,EPC_v1us_00080,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00081,EPC_v1us_00081,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00082,EPC_v1us_00082,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00083,EPC_v1us_00083,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00084,EPC_v1us_00084,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00085,EPC_v1us_00085,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00086,EPC_v1us_00086,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00087,EPC_v1us_00087,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00088,EPC_v1us_00088,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00089,EPC_v1us_00089,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00090,EPC_v1us_00090,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00091,EPC_v1us_00091,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00092,EPC_v1us_00092,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00093,EPC_v1us_00093,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00094,EPC_v1us_00094,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00095,EPC_v1us_00095,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00096,EPC_v1us_00096,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
ADJ_v2ai_00097,EPC_v1us_00097,WAITING_FOR_HUMAN_REVIEW,reviewer_disagreement_or_uncertainty_after_future_review,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,UNKNOWN_UNTIL_REVIEW,wait_for_two_independent_reviews,false,true
