synthesis_id,region,event_id,dimension,classification,basis,ground_truth_operational,can_create_ground_reference,can_create_training_label,can_reopen_protocol_b,dino_usage,no_overlay_executed,no_coordinates_invented,patch_bound_truth,operational_validation,event_candidate_only,context_only_hold,controlled_feature_download_executed,geocoding_executed,centroid_used,raw_data_versioned,notes
RS_v1uz_0022,PET,PET_2024_03_21_28,ground_reference_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0023,PET,PET_2024_03_21_28,training_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0024,REC,REC_2022_05_24_30,event_registry,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0025,REC,REC_2022_05_24_30,official_source,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0026,REC,REC_2022_05_24_30,temporal_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0027,REC,REC_2022_05_24_30,hazard_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0028,REC,REC_2022_05_24_30,locality_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0029,REC,REC_2022_05_24_30,contextual_coordinate_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0030,REC,REC_2022_05_24_30,occurrence_coordinate_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0031,REC,REC_2022_05_24_30,observed_geometry_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0032,REC,REC_2022_05_24_30,sentinel_date_support,WEAK,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0033,REC,REC_2022_05_24_30,overlay_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0034,REC,REC_2022_05_24_30,ground_reference_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0035,REC,REC_2022_05_24_30,training_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0036,CUR,CUR_2022_01_15,event_registry,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0037,CUR,CUR_2022_01_15,official_source,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0038,CUR,CUR_2022_01_15,temporal_support,STRONG,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0039,CUR,CUR_2022_01_15,hazard_support,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0040,CUR,CUR_2022_01_15,locality_support,MODERATE,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0041,CUR,CUR_2022_01_15,contextual_coordinate_support,WEAK,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0042,CUR,CUR_2022_01_15,occurrence_coordinate_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0043,CUR,CUR_2022_01_15,observed_geometry_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0044,CUR,CUR_2022_01_15,sentinel_date_support,ABSENT,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0045,CUR,CUR_2022_01_15,overlay_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0046,CUR,CUR_2022_01_15,ground_reference_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
RS_v1uz_0047,CUR,CUR_2022_01_15,training_readiness,BLOCKED,v1uz multi-region closure synthesis,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,true,false,false,false,false,"Overlay, ground reference and training readiness remain BLOCKED for every region."
