risk_id,target_id,asset_id,patch_id,severity,risk_type,evidence,mitigation,blocks_next_step
MV2_DATA_01_RISK_00019,MV2_DATA_01_TGT_00007,b64b02ca9c474f84,CUR_00409,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00020,MV2_DATA_01_TGT_00007,b64b02ca9c474f84,CUR_00409,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00021,MV2_DATA_01_TGT_00007,b64b02ca9c474f84,CUR_00409,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00022,MV2_DATA_01_TGT_00008,3d3ea9ef96771937,CUR_00410,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00023,MV2_DATA_01_TGT_00008,3d3ea9ef96771937,CUR_00410,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00024,MV2_DATA_01_TGT_00008,3d3ea9ef96771937,CUR_00410,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00025,MV2_DATA_01_TGT_00009,dd1f4a04bb7cb6ed,CUR_00413,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00026,MV2_DATA_01_TGT_00009,dd1f4a04bb7cb6ed,CUR_00413,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00027,MV2_DATA_01_TGT_00009,dd1f4a04bb7cb6ed,CUR_00413,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00028,MV2_DATA_01_TGT_00010,1bc68ee41a5b4b8a,CUR_00416,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00029,MV2_DATA_01_TGT_00010,1bc68ee41a5b4b8a,CUR_00416,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00030,MV2_DATA_01_TGT_00010,1bc68ee41a5b4b8a,CUR_00416,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00031,MV2_DATA_01_TGT_00011,3ba34881513bc02a,CUR_00445,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00032,MV2_DATA_01_TGT_00011,3ba34881513bc02a,CUR_00445,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00033,MV2_DATA_01_TGT_00011,3ba34881513bc02a,CUR_00445,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00034,MV2_DATA_01_TGT_00012,ed1dff06f1f7dcca,CUR_00446,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00035,MV2_DATA_01_TGT_00012,ed1dff06f1f7dcca,CUR_00446,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00036,MV2_DATA_01_TGT_00012,ed1dff06f1f7dcca,CUR_00446,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00037,MV2_DATA_01_TGT_00013,fe8dc079d3e03c27,CUR_00597,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00038,MV2_DATA_01_TGT_00013,fe8dc079d3e03c27,CUR_00597,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00039,MV2_DATA_01_TGT_00013,fe8dc079d3e03c27,CUR_00597,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00040,MV2_DATA_01_TGT_00014,b77321a8607fee0c,CUR_00661,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00041,MV2_DATA_01_TGT_00014,b77321a8607fee0c,CUR_00661,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00042,MV2_DATA_01_TGT_00014,b77321a8607fee0c,CUR_00661,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00043,MV2_DATA_01_TGT_00015,ad01c98c845da020,CUR_00662,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00044,MV2_DATA_01_TGT_00015,ad01c98c845da020,CUR_00662,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00045,MV2_DATA_01_TGT_00015,ad01c98c845da020,CUR_00662,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00046,MV2_DATA_01_TGT_00016,cc77b235c6517621,CUR_00695,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00047,MV2_DATA_01_TGT_00016,cc77b235c6517621,CUR_00695,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00048,MV2_DATA_01_TGT_00016,cc77b235c6517621,CUR_00695,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00049,MV2_DATA_01_TGT_00017,f113e6fe68b406c0,CUR_00728,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00050,MV2_DATA_01_TGT_00017,f113e6fe68b406c0,CUR_00728,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00051,MV2_DATA_01_TGT_00017,f113e6fe68b406c0,CUR_00728,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00052,MV2_DATA_01_TGT_00018,04699a60c3c5ea19,CUR_00740,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00053,MV2_DATA_01_TGT_00018,04699a60c3c5ea19,CUR_00740,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00054,MV2_DATA_01_TGT_00018,04699a60c3c5ea19,CUR_00740,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00055,MV2_DATA_01_TGT_00019,74cebd56446bc3f7,CUR_00887,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00056,MV2_DATA_01_TGT_00019,74cebd56446bc3f7,CUR_00887,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00057,MV2_DATA_01_TGT_00019,74cebd56446bc3f7,CUR_00887,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00058,MV2_DATA_01_TGT_00020,fb3267d46f56a3b7,CUR_00888,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00059,MV2_DATA_01_TGT_00020,fb3267d46f56a3b7,CUR_00888,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00060,MV2_DATA_01_TGT_00020,fb3267d46f56a3b7,CUR_00888,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00061,MV2_DATA_01_TGT_00021,d6514d06a2e91620,CUR_00889,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00062,MV2_DATA_01_TGT_00021,d6514d06a2e91620,CUR_00889,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00063,MV2_DATA_01_TGT_00021,d6514d06a2e91620,CUR_00889,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00064,MV2_DATA_01_TGT_00022,d1929aba4c1b7fca,CUR_00895,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00065,MV2_DATA_01_TGT_00022,d1929aba4c1b7fca,CUR_00895,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00066,MV2_DATA_01_TGT_00022,d1929aba4c1b7fca,CUR_00895,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00067,MV2_DATA_01_TGT_00023,4098e7fc76c48766,CUR_00899,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00068,MV2_DATA_01_TGT_00023,4098e7fc76c48766,CUR_00899,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00069,MV2_DATA_01_TGT_00023,4098e7fc76c48766,CUR_00899,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00070,MV2_DATA_01_TGT_00024,9ba4c962d7863d69,CUR_00924,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00071,MV2_DATA_01_TGT_00024,9ba4c962d7863d69,CUR_00924,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00072,MV2_DATA_01_TGT_00024,9ba4c962d7863d69,CUR_00924,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00073,MV2_DATA_01_TGT_00025,75a8816b70da1445,CUR_00930,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00074,MV2_DATA_01_TGT_00025,75a8816b70da1445,CUR_00930,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00075,MV2_DATA_01_TGT_00025,75a8816b70da1445,CUR_00930,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00076,MV2_DATA_01_TGT_00026,5f50d84e63437d66,CUR_00934,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00077,MV2_DATA_01_TGT_00026,5f50d84e63437d66,CUR_00934,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00078,MV2_DATA_01_TGT_00026,5f50d84e63437d66,CUR_00934,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00079,MV2_DATA_01_TGT_00027,6abc615bcecac30e,CUR_00936,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00080,MV2_DATA_01_TGT_00027,6abc615bcecac30e,CUR_00936,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00081,MV2_DATA_01_TGT_00027,6abc615bcecac30e,CUR_00936,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00082,MV2_DATA_01_TGT_00028,09c4d1b2076c1959,CUR_00960,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00083,MV2_DATA_01_TGT_00028,09c4d1b2076c1959,CUR_00960,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00084,MV2_DATA_01_TGT_00028,09c4d1b2076c1959,CUR_00960,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00085,MV2_DATA_01_TGT_00029,d31ee952037b771c,CUR_00969,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00086,MV2_DATA_01_TGT_00029,d31ee952037b771c,CUR_00969,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00087,MV2_DATA_01_TGT_00029,d31ee952037b771c,CUR_00969,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00088,MV2_DATA_01_TGT_00030,309e7b4655f3ca3e,CUR_00977,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00089,MV2_DATA_01_TGT_00030,309e7b4655f3ca3e,CUR_00977,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00090,MV2_DATA_01_TGT_00030,309e7b4655f3ca3e,CUR_00977,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00091,MV2_DATA_01_TGT_00031,cd154fb67a6825ed,CUR_00992,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00092,MV2_DATA_01_TGT_00031,cd154fb67a6825ed,CUR_00992,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00093,MV2_DATA_01_TGT_00031,cd154fb67a6825ed,CUR_00992,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00094,MV2_DATA_01_TGT_00032,356c75935611425c,CUR_00995,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00095,MV2_DATA_01_TGT_00032,356c75935611425c,CUR_00995,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00096,MV2_DATA_01_TGT_00032,356c75935611425c,CUR_00995,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00097,MV2_DATA_01_TGT_00033,ee9bd026175fc384,CUR_01012,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00098,MV2_DATA_01_TGT_00033,ee9bd026175fc384,CUR_01012,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
MV2_DATA_01_RISK_00099,MV2_DATA_01_TGT_00033,ee9bd026175fc384,CUR_01012,ALTA,RISK_CITY_REGION_PROXY,regiao Curitiba conhecida; nao basta para lineage forte,cidade/regiao nunca vira vinculo cena-patch nem label,false
MV2_DATA_01_RISK_00100,MV2_DATA_01_TGT_00034,5779125b6a8d65f7,CUR_01015,MEDIA,RISK_PATCH_WITHOUT_SCENE,"patch_id presente, scene_id ausente (lineage nao recuperado)",recuperar scene_id via revisao GEE metadata-only; nao inferir,true
MV2_DATA_01_RISK_00101,MV2_DATA_01_TGT_00034,5779125b6a8d65f7,CUR_01015,ALTA,RISK_TILE_AUTO_JOIN,regiao Curitiba usa EPSG:32722 (~MGRS 22J); tile NAO pode ser preenchido por zona,tile so por evidencia GEE da imagem; nunca T23KPR auto,true
