id_item_revisao,tipo_item,cidade,regiao,fonte_ou_artefato,categoria,evidencia_disponivel,geometria_disponivel,crs_disponivel,janela_temporal_disponivel,risco_circularidade,risco_landslide_vs_flood,pode_virar_label_agora,pode_apoiar_ground_truth_futuro,gates_potencialmente_afetados,gates_bloqueados,acao_humana_necessaria,prioridade_revisao,observacao_metodologica
REV_GEOMETRIA_003,geometria_contextual,Curitiba,Sul,GEO_ARQ_IBGE_CUR,Polygon,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar se a geometria é contexto, suscetibilidade ou evento observado antes de qualquer uso patch-level",alta,"Limite municipal oficial via API de malhas do IBGE; contexto territorial, nao evento."
REV_GEOMETRIA_004,geometria_contextual,Curitiba,Sul,GEO_ARQ_GEOCWB_BACIA,Polygon,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar se a geometria é contexto, suscetibilidade ou evento observado antes de qualquer uso patch-level",alta,"6 poligonos de bacia hidrografica via ArcGIS REST; contexto de drenagem, nao evento observado."
REV_GEOMETRIA_005,geometria_contextual,Recife,Nordeste,GEO_FONTE_REC_001,Point,true,true,true,false,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar se a geometria é contexto, suscetibilidade ou evento observado antes de qualquer uso patch-level",alta,"Geometria de SUSCETIBILIDADE (Area de Risco), nao de evento observado. Proveniencia local: datasets/external_sources/recife_minimal_tp."
REV_GEOMETRIA_006,geometria_contextual,Recife,Nordeste,GEO_FONTE_REC_002,MultiPolygon,true,true,true,false,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar se a geometria é contexto, suscetibilidade ou evento observado antes de qualquer uso patch-level",alta,Digitalizacao candidata nao revisada (review_status=provided_unreviewed). Produto pode misturar scars de deslizamento com area de inundacao: NAO assumir flood extent.
REV_ARQUIVO_001,arquivo_baixado_contextual,Petropolis,Sudeste,ARQ_IBGE_PET,vulnerabilidade_socioambiental,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",media,"Limite municipal oficial via API de malhas do IBGE; contexto territorial, nao evento."
REV_ARQUIVO_002,arquivo_baixado_contextual,Recife,Nordeste,ARQ_IBGE_REC,vulnerabilidade_socioambiental,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",media,"Limite municipal oficial via API de malhas do IBGE; contexto territorial, nao evento."
REV_ARQUIVO_003,arquivo_baixado_contextual,Curitiba,Sul,ARQ_IBGE_CUR,vulnerabilidade_socioambiental,true,true,true,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",media,"Limite municipal oficial via API de malhas do IBGE; contexto territorial, nao evento."
REV_ARQUIVO_004,arquivo_baixado_contextual,Curitiba,Sul,ARQ_GEOCWB_BACIA,suscetibilidade_territorial,true,true,true,false,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G3_geometria_espacial_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",media,"6 poligonos de bacia hidrografica via ArcGIS REST; contexto de drenagem, nao evento observado."
REV_ARQUIVO_005,arquivo_baixado_contextual,desconhecida,Nacional,ARQ_ANA_INVENTARIO,chuva_extrema,true,false,false,false,medio,baixo,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",baixa,Inventario nacional de estacoes pluviometricas; serie especifica do Capibaribe ainda pendente via HidroWeb.
REV_ARQUIVO_006,arquivo_baixado_contextual,desconhecida,Nacional,ARQ_MAPBIOMAS_DHN250,suscetibilidade_territorial,true,false,false,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",baixa,"Estatisticas de cobertura por divisao hidrografica nacional; contexto territorial, nao geometria de evento."
REV_ARQUIVO_007,arquivo_baixado_contextual,Petropolis,Sudeste,ARQ_SGB_CARTA_PET,suscetibilidade_territorial,true,false,true,false,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",baixa,Carta de suscetibilidade (PDF do mapa). Suscetibilidade != evento observado; deslizamento != flood. SIG vetorial completo (1.8 GB) nao baixado por tamanho.
REV_ARQUIVO_008,arquivo_baixado_contextual,Petropolis,Internacional,ARQ_NHESS,desastre_hidrometeorologico_composto,true,false,false,true,medio,alto,false,true,G4_fonte_label_independente;G5_revisao_humana_completa;G2_janela_temporal_fechada;G0_patch_id_valido;G1_asset_id_valido;G7_anti_leakage_aprovado,G2_janela_temporal_fechada;G3_geometria_espacial_fechada;G4_fonte_label_independente;G5_revisao_humana_completa;G6_politica_negativo_satisfeita;G7_anti_leakage_aprovado;G8_liberado_para_treino_true,"revisar papel do arquivo como contexto, geometria ou fonte observacional candidata",baixa,Fonte documental secundaria (baixada em rodada anterior); figuras do artigo nao sao geometria auditavel.
