normalized_asset_id,canonical_patch_id,asset_id,region,asset_type,acquisition_date,cloud_cover,cloud_cover_required,cloud_cover_available,patch_asset_link_status,temporal_usability_status,is_clean_temporal_asset,source_files,applied_repair_fields,applied_repair_rules,applied_repair_confidences,rejected_repair_count,lineage_status,guardrail_status
CTB_SEEDS_x3::unknown,CTB_SEEDS_x3,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/features/mv1_embedding_index.csv|outputs_public/tables/revp_evidence_packet_registry_v2ea.csv|outputs_public/tables/revp_external_patch_pairing_v2cr.csv|outputs_public/tables/revp_patch_event_replay_v2cm.csv|outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv|outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv|outputs_public/tables/revp_tp2_patch_pair_candidates_v2ci.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR-00038::unknown,CUR-00038,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/article_figures_selection_v1/selected_patch_images_for_article.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR-00249::unknown,CUR-00249,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/article_figures_selection_v1/selected_patch_images_for_article.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR-00357::unknown,CUR-00357,unknown,Curitiba,unknown,unknown,missing,false,false,MISSING_OR_INVALID,BLOCKED_MISSING_ASSET_TYPE,false,local_runs/article_figures_selection_v1/selected_patch_images_for_article.csv,region,EXPLICIT_FIELD_NORMALIZATION,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::92505e20b69dd028,CUR_00038,92505e20b69dd028,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,manifests/dino_inputs/revp_v1fu_dino_sentinel_input_manifest/dino_sentinel_input_manifest_v1fu.csv|outputs_public/mv2_data_gee_lineage_targets/mv2_data_01_gee_metadata_query_plan.csv|outputs_public/mv2_data_gee_lineage_targets/mv2_data_01_lineage_targets.csv|outputs_public/mv2_data_gee_lineage_targets/mv2_data_01_manual_gee_lineage_template.csv|outputs_public/mv2_data_gee_lineage_targets/mv2_data_01_manual_recovery_checklist.csv|outputs_public/mv2_data_gee_lineage_targets/mv2_data_01_risk_matrix.csv|outputs_public/mv2_gee_lineage_recovery/mv2_14_day10_post_lineage_gate.csv|outputs_public/mv2_gee_lineage_recovery/mv2_14_lineage_binding_matrix.csv|outputs_public/mv2_gee_lineage_recovery/mv2_14_manual_lineage_template.csv|outputs_public/mv2_gee_lineage_recovery/mv2_14_medium_binding_index.csv|outputs_public/mv2_gee_lineage_recovery/mv2_14_post_lineage_stac_gate.csv|outputs_public/mv2_sentinel_binding/mv2_13_asset_inventory_normalized.csv|outputs_public/mv2_sentinel_binding/mv2_13_binding_matrix.csv|outputs_public/mv2_sentinel_binding/mv2_13_day10_spectral_gate.csv|outputs_public/mv2_sentinel_binding/mv2_13_stac_dry_run_plan.csv|outputs_public/mv2_sentinel_binding/mv2_13_stac_gate_matrix.csv|outputs_public/mv2_sentinel_binding/mv2_13_temporal_scene_lineage_matrix.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,40,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\data\external_validation_assets\petropolis_sgb_cprm\raw\fbds\uso\RJ_3303906_USO.shp,CUR_00038,C:\Users\gabriela\Documents\PROJETO\data\external_validation_assets\petropolis_sgb_cprm\raw\fbds\uso\RJ_3303906_USO.shp,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\b3_petropolis_official_package_header_review_v1\b3_zip_entry_classification_v1.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\b3_petropolis_official_package_header_review_v1\b3_zip_entry_classification_v1.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\curitiba_external_sgb_hydro_overlay_status.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\curitiba_external_sgb_hydro_overlay_status.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\curitiba_external_sgb_hydro_overlay_v1.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\curitiba_external_sgb_hydro_overlay_v1.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\curitiba_sgb_cprm_inventory.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\curitiba_sgb_cprm_inventory.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\evidence_matrix_recife_external_sgb_cprm_v1.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\evidence_matrix_recife_external_sgb_cprm_v1.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\external_evidence_acquisition_20260511_074751\_send_to_chatgpt\sgb_heavy_download_manifest_do_not_download_now.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\external_evidence_acquisition_20260511_074751\_send_to_chatgpt\sgb_heavy_download_manifest_do_not_download_now.csv,Curitiba,dinov2_embedding,2026-05-11,missing,false,false,LINKED,CLEAN_TEMPORAL_ASSET,true,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,acquisition_date|asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN|UNAMBIGUOUS_DATE_FROM_FILENAME,HIGH_EXPLICIT_FIELD|MEDIUM_UNAMBIGUOUS_FILENAME_PATTERN,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\external_evidence_acquisition_20260511_074751\petropolis_sgb_rigeo\sgb_heavy_download_manifest_do_not_download_now.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\external_evidence_acquisition_20260511_074751\petropolis_sgb_rigeo\sgb_heavy_download_manifest_do_not_download_now.csv,Curitiba,dinov2_embedding,2026-05-11,missing,false,false,LINKED,CLEAN_TEMPORAL_ASSET,true,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,acquisition_date|asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN|UNAMBIGUOUS_DATE_FROM_FILENAME,HIGH_EXPLICIT_FIELD|MEDIUM_UNAMBIGUOUS_FILENAME_PATTERN,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\manual_crs_resolution_v1\03_petropolis_sgb_files_to_review.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\manual_crs_resolution_v1\03_petropolis_sgb_files_to_review.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\petropolis_external_sgb_hydro_terrain_overlay_status.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\petropolis_external_sgb_hydro_terrain_overlay_status.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\petropolis_external_sgb_hydro_terrain_overlay_v1.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\petropolis_external_sgb_hydro_terrain_overlay_v1.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\petropolis_sgb_cprm_inventory.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\petropolis_sgb_cprm_inventory.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_external_sgb_cprm_matrix_audit.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_external_sgb_cprm_matrix_audit.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_external_sgb_cprm_overlay_status.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_external_sgb_cprm_overlay_status.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_sgb_cprm_extracted_file_inventory.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_sgb_cprm_extracted_file_inventory.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_sgb_cprm_sig_preparation_status.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\recife_sgb_cprm_sig_preparation_status.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_canonical_bbox_crs_comparison_v1q3a\6_CLASSIFICATION_v1q3a.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_canonical_bbox_crs_comparison_v1q3a\6_CLASSIFICATION_v1q3a.csv,Curitiba,dinov2_embedding,unknown,missing,false,false,LINKED,BLOCKED_MISSING_ACQUISITION_DATE,false,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN,HIGH_EXPLICIT_FIELD,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_external_validation_master_package_FIXED_20260511_200206\evidence_snapshots\b3_header__86abaff0a09b__b3_zip_entry_classification_v1.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_external_validation_master_package_FIXED_20260511_200206\evidence_snapshots\b3_header__86abaff0a09b__b3_zip_entry_classification_v1.csv,Curitiba,dinov2_embedding,2026-05-11,missing,false,false,LINKED,CLEAN_TEMPORAL_ASSET,true,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,acquisition_date|asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN|UNAMBIGUOUS_DATE_FROM_FILENAME,HIGH_EXPLICIT_FIELD|MEDIUM_UNAMBIGUOUS_FILENAME_PATTERN,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_external_validation_master_package_FIXED_20260511_200206\evidence_snapshots\external_evidence_acquisition__700204cf38ff__sgb_heavy_download_manifest_do_not_download_n.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_external_validation_master_package_FIXED_20260511_200206\evidence_snapshots\external_evidence_acquisition__700204cf38ff__sgb_heavy_download_manifest_do_not_download_n.csv,Curitiba,dinov2_embedding,2026-05-11,missing,false,false,LINKED,CLEAN_TEMPORAL_ASSET,true,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,acquisition_date|asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN|UNAMBIGUOUS_DATE_FROM_FILENAME,HIGH_EXPLICIT_FIELD|MEDIUM_UNAMBIGUOUS_FILENAME_PATTERN,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
CUR_00038::C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_external_validation_master_package_FIXED_20260511_200206\evidence_snapshots\external_evidence_acquisition__fd0ebc41b7fe__sgb_heavy_download_manifest_do_not_download_n.csv,CUR_00038,C:\Users\gabriela\Documents\PROJETO\outputs\external_validation\revp_external_validation_master_package_FIXED_20260511_200206\evidence_snapshots\external_evidence_acquisition__fd0ebc41b7fe__sgb_heavy_download_manifest_do_not_download_n.csv,Curitiba,dinov2_embedding,2026-05-11,missing,false,false,LINKED,CLEAN_TEMPORAL_ASSET,true,local_runs/dino_embeddings/v1gt/land_use_coverage_overlap_audit_v1gt.csv,acquisition_date|asset_type|patch_asset_link|region,EXPLICIT_FIELD_NORMALIZATION|PATCH_ASSET_LINK_FROM_MANIFEST|UNAMBIGUOUS_ASSET_TYPE_PATTERN|UNAMBIGUOUS_DATE_FROM_FILENAME,HIGH_EXPLICIT_FIELD|MEDIUM_UNAMBIGUOUS_FILENAME_PATTERN,0,APPLIED_DETERMINISTIC_SHADOW,GUARDRAILS_PRESERVED_SHADOW_MANIFEST_ONLY
