agent_action_id,formal_request_id,action_mode,action_description,command_example,requires_user_confirmation,requires_env_opt_in,has_external_effect,allowed_by_default,expected_local_output,blocked_reason,review_only
S17C12_ACTION_00011,P0_DRM_RJ_PKG_FR_PET_001,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P0_DRM_RJ_PKG_FR_PET_001,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00012,P0_DRM_RJ_PKG_FR_PET_001,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P0_DRM_RJ_PKG_FR_PET_001,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00013,P0_DRM_RJ_PKG_FR_PET_001,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P0_DRM_RJ_PKG_FR_PET_001,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00014,P0_DRM_RJ_PKG_FR_PET_001,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P0_DRM_RJ_PKG_FR_PET_001,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00015,P0_DRM_RJ_PKG_FR_PET_001,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00016,P0_DRM_RJ_PKG_FR_PET_001,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00017,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00018,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00019,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00020,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00021,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00022,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00023,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00024,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00025,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00026,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00027,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00028,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00029,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00030,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00031,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00032,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00033,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00034,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00035,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00036,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00037,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00038,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00039,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00040,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00041,P1_SENTINEL2_TILE_CANDIDATE_GRID,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00042,P1_SENTINEL2_TILE_CANDIDATE_GRID,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P1_SENTINEL2_TILE_CANDIDATE_GRID,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00043,P1_SENTINEL2_TILE_CANDIDATE_GRID,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P1_SENTINEL2_TILE_CANDIDATE_GRID,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00044,P1_SENTINEL2_TILE_CANDIDATE_GRID,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P1_SENTINEL2_TILE_CANDIDATE_GRID,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00045,P1_SENTINEL2_TILE_CANDIDATE_GRID,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P1_SENTINEL2_TILE_CANDIDATE_GRID,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00046,P1_SENTINEL2_TILE_CANDIDATE_GRID,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P1_SENTINEL2_TILE_CANDIDATE_GRID,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00047,P1_SENTINEL2_TILE_CANDIDATE_GRID,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00048,P1_SENTINEL2_TILE_CANDIDATE_GRID,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00049,P1_SGB_CPRM_VECTOR_OR_COORDINATES,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00050,P1_SGB_CPRM_VECTOR_OR_COORDINATES,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P1_SGB_CPRM_VECTOR_OR_COORDINATES,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00051,P1_SGB_CPRM_VECTOR_OR_COORDINATES,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P1_SGB_CPRM_VECTOR_OR_COORDINATES,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00052,P1_SGB_CPRM_VECTOR_OR_COORDINATES,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P1_SGB_CPRM_VECTOR_OR_COORDINATES,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00053,P1_SGB_CPRM_VECTOR_OR_COORDINATES,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P1_SGB_CPRM_VECTOR_OR_COORDINATES,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00054,P1_SGB_CPRM_VECTOR_OR_COORDINATES,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P1_SGB_CPRM_VECTOR_OR_COORDINATES,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00055,P1_SGB_CPRM_VECTOR_OR_COORDINATES,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00056,P1_SGB_CPRM_VECTOR_OR_COORDINATES,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00057,P2_DINO_SATMAE_INPUT_TILE,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00058,P2_DINO_SATMAE_INPUT_TILE,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P2_DINO_SATMAE_INPUT_TILE,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00059,P2_DINO_SATMAE_INPUT_TILE,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P2_DINO_SATMAE_INPUT_TILE,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00060,P2_DINO_SATMAE_INPUT_TILE,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P2_DINO_SATMAE_INPUT_TILE,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00061,P2_DINO_SATMAE_INPUT_TILE,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P2_DINO_SATMAE_INPUT_TILE,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00062,P2_DINO_SATMAE_INPUT_TILE,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P2_DINO_SATMAE_INPUT_TILE,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00063,P2_DINO_SATMAE_INPUT_TILE,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00064,P2_DINO_SATMAE_INPUT_TILE,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00065,P2_SAR_RUNTIME_OR_EXPORT_PATH,plan,Listar fila priorizada sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py plan,false,false,false,true,nenhum_arquivo,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00066,P2_SAR_RUNTIME_OR_EXPORT_PATH,prepare,Gerar pacote local copiavel para revisao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py prepare --request-id P2_SAR_RUNTIME_OR_EXPORT_PATH,false,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/packages,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00067,P2_SAR_RUNTIME_OR_EXPORT_PATH,open-channel,Imprimir URL e instrucao do canal para acao humana.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py open-channel --request-id P2_SAR_RUNTIME_OR_EXPORT_PATH,false,false,true,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00068,P2_SAR_RUNTIME_OR_EXPORT_PATH,submit-assisted,Tentar fluxo assistido somente com opt-in completo; portais permanecem bloqueados para acao manual.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py submit-assisted --request-id P2_SAR_RUNTIME_OR_EXPORT_PATH,true,true,true,false,local_runs/suscetibilidade/17c12_submission_orchestrator/attempts,external_action_blocked_by_default,true
S17C12_ACTION_00069,P2_SAR_RUNTIME_OR_EXPORT_PATH,record-submission,"Registrar envio manual ja feito fora do agente, com evidencia literal informada pela pessoa.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py record-submission --request-id P2_SAR_RUNTIME_OR_EXPORT_PATH,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/state/submission_records.csv,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00070,P2_SAR_RUNTIME_OR_EXPORT_PATH,intake-response,"Registrar resposta recebida manualmente, calcular hash e gerar manifesto local.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py intake-response --request-id P2_SAR_RUNTIME_OR_EXPORT_PATH,true,false,false,true,local_runs/suscetibilidade/17c12_submission_orchestrator/intake,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00071,P2_SAR_RUNTIME_OR_EXPORT_PATH,status,Mostrar estado operacional atual sem efeito externo.,python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py status,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
S17C12_ACTION_00072,P2_SAR_RUNTIME_OR_EXPORT_PATH,audit,"Validar guardrails contra envio, protocolo, resposta e score inventados.",python scripts\suscetibilidade\susc_17c12_submission_orchestrator.py audit,false,false,false,true,stdout,not_blocked_local_or_instruction_only,true
