execution_task_id,formal_request_id,provider_name,priority,task_order,task_description,task_status,requires_human_action,evidence_required_to_mark_done,done,review_only
S17C13_TASK_0021,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0022,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0023,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0024,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0025,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0026,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0027,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0028,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0029,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0030,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,CHIRPS/GEE - fonte a confirmar,P1,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0031,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0032,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0033,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0034,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0035,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0036,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0037,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0038,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0039,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0040,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,GEE/DEM/HAND/drenagem - fonte a confirmar,P1,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0041,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0042,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0043,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0044,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0045,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0046,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0047,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0048,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0049,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0050,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,Defesa Civil Petropolis / DRM-RJ (a confirmar),P1,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0051,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0052,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0053,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0054,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0055,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0056,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0057,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0058,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0059,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0060,P1_SENTINEL2_TILE_CANDIDATE_GRID,STAC/CDSE/GEE - fonte a confirmar,P1,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0061,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0062,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0063,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0064,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0065,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0066,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0067,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0068,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0069,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0070,P1_SGB_CPRM_VECTOR_OR_COORDINATES,SGB/CPRM,P1,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0071,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0072,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0073,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0074,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0075,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0076,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0077,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0078,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0079,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0080,P2_DINO_SATMAE_INPUT_TILE,Pipeline interno DINO/SatMAE - sem execucao nesta sprint,P2,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
S17C13_TASK_0081,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,1,revisar pacote,pending,true,pacote revisado e anotacao humana,false,true
S17C13_TASK_0082,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,2,abrir canal oficial,pending,true,canal aberto manualmente pela pessoa,false,true
S17C13_TASK_0083,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,3,verificar canal,pending,true,confirmacao humana de que o canal cobre o pedido,false,true
S17C13_TASK_0084,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,4,copiar mensagem,pending,true,mensagem copiada apos revisao,false,true
S17C13_TASK_0085,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,5,"anexar arquivos revisados, se aplicavel",pending,true,lista de anexos revisada e sensibilidade checada,false,true
S17C13_TASK_0086,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,6,submeter manualmente,pending,true,evidencia literal do envio manual,false,true
S17C13_TASK_0087,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,7,registrar data/hora,pending,true,data/hora literal informada pela pessoa,false,true
S17C13_TASK_0088,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,8,"registrar protocolo, se houver",pending,true,protocolo literal se existir,false,true
S17C13_TASK_0089,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,9,salvar comprovante ou resposta futura fora de outputs_public,pending,true,path local privado ou local_runs protegido,false,true
S17C13_TASK_0090,P2_SAR_RUNTIME_OR_EXPORT_PATH,Runtime tecnico SAR - fonte a confirmar,P2,10,rodar intake-response quando houver resposta,pending,true,arquivo real e hash calculado no intake futuro,false,true
