qa_queue_id,ground_reference_candidate_id,patch_reference_link_id,qa_priority,qa_question,evidence_to_review,expected_decision_values,blocking_if_unresolved,review_only
S18C_QA_0011,S18C_GRC_0004,S18C_PRL_0004,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0012,S18C_GRC_0004,S18C_PRL_0004,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0013,S18C_GRC_0005,S18C_PRL_0005,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0014,S18C_GRC_0005,S18C_PRL_0005,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0015,S18C_GRC_0005,S18C_PRL_0005,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0016,S18C_GRC_0006,S18C_PRL_0006,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0017,S18C_GRC_0006,S18C_PRL_0006,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0018,S18C_GRC_0006,S18C_PRL_0006,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0019,S18C_GRC_0007,S18C_PRL_0007,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0020,S18C_GRC_0007,S18C_PRL_0007,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0021,S18C_GRC_0007,S18C_PRL_0007,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0022,S18C_GRC_0008,S18C_PRL_0008,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0023,S18C_GRC_0008,S18C_PRL_0008,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0024,S18C_GRC_0008,S18C_PRL_0008,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0025,S18C_GRC_0009,S18C_PRL_0009,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0026,S18C_GRC_0009,S18C_PRL_0009,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0027,S18C_GRC_0009,S18C_PRL_0009,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0028,S18C_GRC_0010,S18C_PRL_0010,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0029,S18C_GRC_0010,S18C_PRL_0010,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0030,S18C_GRC_0010,S18C_PRL_0010,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0031,S18C_GRC_0011,S18C_PRL_0011,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0032,S18C_GRC_0011,S18C_PRL_0011,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0033,S18C_GRC_0011,S18C_PRL_0011,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
