handoff_id,sentinel1_target_id,checklist_group,handoff_status,reason_pt,unblockable_after_visualization,depends_on_footprint,depends_on_qa_human,future_decision_possible_pt,accepted_future_is_review_only,current_qa_status,review_only
HO_00012,S1_0548,exclusoes,depende_de_footprint,exige footprint e mascaras futuras,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00013,S1_0548,fenomeno,desbloqueavel_apos_visualizacao,visualizacao ajuda a confirmar inundacao vs outro fenomeno,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00014,S1_0548,fonte,ja_disponivel,fonte/autoridade ja registrada,false,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00015,S1_0548,footprint_futuro,depende_de_footprint,exige footprint SAR pos-evento futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00016,S1_0548,incerteza,depende_de_footprint,incerteza depende do footprint futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00017,S1_0548,leakage,depende_de_qa_humano,auditoria de leakage exige revisao humana,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00018,S1_0548,temporalidade,desbloqueavel_apos_visualizacao,datas e janelas ja conhecidas; visualizacao confirma,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00019,S1_0549,decisao,depende_de_qa_humano,decisao final exige QA humano,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00020,S1_0549,espacialidade,desbloqueavel_apos_visualizacao,overlay AOI/patch permite conferir relacao espacial,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00021,S1_0549,exclusoes,depende_de_footprint,exige footprint e mascaras futuras,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00022,S1_0549,fenomeno,desbloqueavel_apos_visualizacao,visualizacao ajuda a confirmar inundacao vs outro fenomeno,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00023,S1_0549,fonte,ja_disponivel,fonte/autoridade ja registrada,false,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00024,S1_0549,footprint_futuro,depende_de_footprint,exige footprint SAR pos-evento futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00025,S1_0549,incerteza,depende_de_footprint,incerteza depende do footprint futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00026,S1_0549,leakage,depende_de_qa_humano,auditoria de leakage exige revisao humana,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00027,S1_0549,temporalidade,desbloqueavel_apos_visualizacao,datas e janelas ja conhecidas; visualizacao confirma,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00028,S1_0550,decisao,depende_de_qa_humano,decisao final exige QA humano,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00029,S1_0550,espacialidade,desbloqueavel_apos_visualizacao,overlay AOI/patch permite conferir relacao espacial,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00030,S1_0550,exclusoes,depende_de_footprint,exige footprint e mascaras futuras,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00031,S1_0550,fenomeno,desbloqueavel_apos_visualizacao,visualizacao ajuda a confirmar inundacao vs outro fenomeno,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00032,S1_0550,fonte,ja_disponivel,fonte/autoridade ja registrada,false,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00033,S1_0550,footprint_futuro,depende_de_footprint,exige footprint SAR pos-evento futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00034,S1_0550,incerteza,depende_de_footprint,incerteza depende do footprint futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00035,S1_0550,leakage,depende_de_qa_humano,auditoria de leakage exige revisao humana,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00036,S1_0550,temporalidade,desbloqueavel_apos_visualizacao,datas e janelas ja conhecidas; visualizacao confirma,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00037,S1_0551,decisao,depende_de_qa_humano,decisao final exige QA humano,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00038,S1_0551,espacialidade,desbloqueavel_apos_visualizacao,overlay AOI/patch permite conferir relacao espacial,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00039,S1_0551,exclusoes,depende_de_footprint,exige footprint e mascaras futuras,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00040,S1_0551,fenomeno,desbloqueavel_apos_visualizacao,visualizacao ajuda a confirmar inundacao vs outro fenomeno,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00041,S1_0551,fonte,ja_disponivel,fonte/autoridade ja registrada,false,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00042,S1_0551,footprint_futuro,depende_de_footprint,exige footprint SAR pos-evento futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00043,S1_0551,incerteza,depende_de_footprint,incerteza depende do footprint futuro,false,true,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00044,S1_0551,leakage,depende_de_qa_humano,auditoria de leakage exige revisao humana,false,false,true,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
HO_00045,S1_0551,temporalidade,desbloqueavel_apos_visualizacao,datas e janelas ja conhecidas; visualizacao confirma,true,false,false,aceitar/rejeitar/ambiguo apos QA humano,true,prepared_for_future_review,true
