extraction_task_id,candidate_patch_id,feature_layer,task_name,task_type,input_required,expected_output,can_run_now,why_not_now,estimated_dependency,must_not_commit_raw_raster,review_only,trainable,ground_truth
S17C7_TASK_00018,S17C6_CANARY_REC_00003,rainfall_trigger,planejar_rainfall_trigger_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;CHIRPS_or_runoff_context,CHIRPS_3d_7d_30d_and_runoff_context,false,candidate_patch_rainfall_pipeline_not_run,candidate_patch_policy,true,true,false,false
S17C7_TASK_00019,S17C6_CANARY_REC_00003,documentary_evidence,planejar_documentary_evidence_para_patch_candidato,requires_manual_review,17C6_candidate_link_and_Charter758_reference,QA_status_and_documentary_evidence_review,false,human_QA_not_accepted,human_QA,true,true,false,false
S17C7_TASK_00020,S17C6_CANARY_REC_00003,sar_observational,planejar_sar_observational_para_patch_candidato,requires_runtime_credentials,Sentinel-1_pre_post_window;SAR_runtime,review_only_SAR_footprint_candidate,false,sar_runtime_unavailable,SAR_runtime_and_credentials,true,true,false,false
S17C7_TASK_00021,S17C6_CANARY_REC_00003,embedding_representation,planejar_embedding_representation_para_patch_candidato,requires_external_artifact,real_tile;embedding_contract,real_embedding_input_manifest_and_vector,false,no_real_tile_for_DINO_or_SatMAE,real_tile_materialization,true,true,false,false
S17C7_TASK_00022,S17C6_CANARY_REC_00004,physical_static,planejar_physical_static_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;DEM_HAND_drainage_pipeline,HAND_elevation_slope_drainage_features,false,candidate_grid_policy_and_pipeline_adaptation_required,candidate_patch_policy,true,true,false,false
S17C7_TASK_00023,S17C6_CANARY_REC_00004,urban_territorial,planejar_urban_territorial_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;territorial_raster_pipeline,MapBiomas_urban_vegetation_water_features,false,candidate_grid_policy_and_pipeline_adaptation_required,candidate_patch_policy,true,true,false,false
S17C7_TASK_00024,S17C6_CANARY_REC_00004,sentinel2_spectral,planejar_sentinel2_spectral_para_patch_candidato,requires_external_artifact,candidate_patch_geometry;Sentinel-2_tile_or_scene_lineage,NDVI_NDWI_MNDWI_NDBI_and_tile_metadata,false,real_sentinel_tile_not_materialized_for_candidate_patch,sentinel2_scene_or_tile,true,true,false,false
S17C7_TASK_00025,S17C6_CANARY_REC_00004,rainfall_trigger,planejar_rainfall_trigger_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;CHIRPS_or_runoff_context,CHIRPS_3d_7d_30d_and_runoff_context,false,candidate_patch_rainfall_pipeline_not_run,candidate_patch_policy,true,true,false,false
S17C7_TASK_00026,S17C6_CANARY_REC_00004,documentary_evidence,planejar_documentary_evidence_para_patch_candidato,requires_manual_review,17C6_candidate_link_and_Charter758_reference,QA_status_and_documentary_evidence_review,false,human_QA_not_accepted,human_QA,true,true,false,false
S17C7_TASK_00027,S17C6_CANARY_REC_00004,sar_observational,planejar_sar_observational_para_patch_candidato,requires_runtime_credentials,Sentinel-1_pre_post_window;SAR_runtime,review_only_SAR_footprint_candidate,false,sar_runtime_unavailable,SAR_runtime_and_credentials,true,true,false,false
S17C7_TASK_00028,S17C6_CANARY_REC_00004,embedding_representation,planejar_embedding_representation_para_patch_candidato,requires_external_artifact,real_tile;embedding_contract,real_embedding_input_manifest_and_vector,false,no_real_tile_for_DINO_or_SatMAE,real_tile_materialization,true,true,false,false
S17C7_TASK_00029,S17C6_CANARY_REC_00005,physical_static,planejar_physical_static_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;DEM_HAND_drainage_pipeline,HAND_elevation_slope_drainage_features,false,candidate_grid_policy_and_pipeline_adaptation_required,candidate_patch_policy,true,true,false,false
S17C7_TASK_00030,S17C6_CANARY_REC_00005,urban_territorial,planejar_urban_territorial_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;territorial_raster_pipeline,MapBiomas_urban_vegetation_water_features,false,candidate_grid_policy_and_pipeline_adaptation_required,candidate_patch_policy,true,true,false,false
S17C7_TASK_00031,S17C6_CANARY_REC_00005,sentinel2_spectral,planejar_sentinel2_spectral_para_patch_candidato,requires_external_artifact,candidate_patch_geometry;Sentinel-2_tile_or_scene_lineage,NDVI_NDWI_MNDWI_NDBI_and_tile_metadata,false,real_sentinel_tile_not_materialized_for_candidate_patch,sentinel2_scene_or_tile,true,true,false,false
S17C7_TASK_00032,S17C6_CANARY_REC_00005,rainfall_trigger,planejar_rainfall_trigger_para_patch_candidato,adapt_existing_pipeline_to_candidate_patch,candidate_patch_geometry;CHIRPS_or_runoff_context,CHIRPS_3d_7d_30d_and_runoff_context,false,candidate_patch_rainfall_pipeline_not_run,candidate_patch_policy,true,true,false,false
S17C7_TASK_00033,S17C6_CANARY_REC_00005,documentary_evidence,planejar_documentary_evidence_para_patch_candidato,requires_manual_review,17C6_candidate_link_and_Charter758_reference,QA_status_and_documentary_evidence_review,false,human_QA_not_accepted,human_QA,true,true,false,false
S17C7_TASK_00034,S17C6_CANARY_REC_00005,sar_observational,planejar_sar_observational_para_patch_candidato,requires_runtime_credentials,Sentinel-1_pre_post_window;SAR_runtime,review_only_SAR_footprint_candidate,false,sar_runtime_unavailable,SAR_runtime_and_credentials,true,true,false,false
S17C7_TASK_00035,S17C6_CANARY_REC_00005,embedding_representation,planejar_embedding_representation_para_patch_candidato,requires_external_artifact,real_tile;embedding_contract,real_embedding_input_manifest_and_vector,false,no_real_tile_for_DINO_or_SatMAE,real_tile_materialization,true,true,false,false
