linkage_id,event_id,patch_id,region,event_date,event_type,evidence_level,spatial_relation,temporal_precision,distance_m,patch_score_v6,patch_score_class_v6,source_confidence,linkage_confidence,observed_event_strength,can_be_used_for_observational_evaluation,can_be_ground_truth,allowed_for_training,review_only,requires_manual_review,interpretation,limitations
S13ALINK_00010,SUSC13A_00006,petropolis_00361,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1298.4,0.684073,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00011,SUSC13A_00006,petropolis_00362,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,928.3,0.60653,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00012,SUSC13A_00006,petropolis_00467,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,628.4,0.794662,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00013,SUSC13A_00007,petropolis_00291,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1290.6,0.670423,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00014,SUSC13A_00007,petropolis_00292,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,917.3,0.77154,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00015,SUSC13A_00007,petropolis_00293,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,776.7,0.799382,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00016,SUSC13A_00007,petropolis_00326,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,908.0,0.599725,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00017,SUSC13A_00007,petropolis_00361,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1298.4,0.684073,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00018,SUSC13A_00007,petropolis_00362,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,928.3,0.60653,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00019,SUSC13A_00007,petropolis_00467,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,628.4,0.794662,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00020,SUSC13A_00008,petropolis_00291,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1290.6,0.670423,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00021,SUSC13A_00008,petropolis_00292,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,917.3,0.77154,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,7 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00022,SUSC13A_00008,petropolis_00293,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,664.2,0.799382,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,7 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00023,SUSC13A_00008,petropolis_00297,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1077.7,0.283131,low,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00024,SUSC13A_00008,petropolis_00326,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,908.0,0.599725,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00025,SUSC13A_00008,petropolis_00361,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1298.4,0.684073,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00026,SUSC13A_00008,petropolis_00362,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,928.3,0.60653,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00027,SUSC13A_00008,petropolis_00467,petropolis,,flash_flood,moderate_official_occurrence_point,moderate_point_inside_patch,unknown,476.4,0.794662,high,medium_temporal_gap,moderate,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) dentro do bbox do patch.,Ponto de ocorrencia nao e footprint de area alagada; vinculo observacional review-only.
S13ALINK_00028,SUSC13A_00008,petropolis_00504,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1222.2,0.13627,low,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00029,SUSC13A_00009,petropolis_00291,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1290.6,0.670423,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00030,SUSC13A_00009,petropolis_00292,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,917.3,0.77154,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00031,SUSC13A_00009,petropolis_00293,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,776.7,0.799382,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00032,SUSC13A_00009,petropolis_00326,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,908.0,0.599725,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00033,SUSC13A_00009,petropolis_00361,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,1298.4,0.684073,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00034,SUSC13A_00009,petropolis_00362,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,928.3,0.60653,medium,medium_temporal_gap,weak,moderate,true,false,false,true,true,1 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00035,SUSC13A_00009,petropolis_00467,petropolis,,flash_flood,moderate_official_occurrence_point,near_patch_buffer_candidate,unknown,628.4,0.794662,high,medium_temporal_gap,weak,moderate,true,false,false,true,true,2 ponto(s) rastreavel(is) no buffer aproximado de 550m do patch.,Proximidade nao confirma ocorrencia no patch; candidato apenas para revisao.
S13ALINK_00036,SUSC13A_00010,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,,unknown,weak_administrative_context,insufficient_for_patch_link,unknown,,,,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13ALINK_00037,SUSC13A_00011,REGION_LEVEL_NO_PATCH_RESOLUTION,recife,,unknown,weak_administrative_context,insufficient_for_patch_link,unknown,,,,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
S13ALINK_00038,SUSC13A_00012,REGION_LEVEL_NO_PATCH_RESOLUTION,petropolis,,unknown,weak_administrative_context,insufficient_for_patch_link,unknown,,,,low,very_weak,weak,false,false,false,true,true,Contexto fraco/documental mantido sem resolucao por patch.,"Risco, alerta, administrativo ou documental nao e evento observado."
