corpus_row_id,patch_id,region,source_file,source_row_index,embedding_id,model_name,declared_embedding_dim,declared_l2_normalized,observed_dim,observed_l2_norm,status,blocking_reason,is_region_medoid,cosine_to_region_medoid,nearest_medoid_region,cosine_to_nearest_medoid,nearest_medoid_matches_own_region,methodological_note
DGOV_V2FG_00011,PET_00789,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,10,V1QW_EMB_00011,dinov2-with-registers-base,768,true,768,0.99999991,VALID,,false,0.846294,RECIFE,0.87357,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00012,PET_00823,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,11,V1QW_EMB_00012,dinov2-with-registers-base,768,true,768,1.0,VALID,,false,0.838027,PET,0.838027,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00013,PET_00825,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,12,V1QW_EMB_00013,dinov2-with-registers-base,768,true,768,1.00000012,VALID,,false,0.87924,PET,0.87924,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00014,PET_00860,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,13,V1QW_EMB_00014,dinov2-with-registers-base,768,true,768,1.00000007,VALID,,false,0.883633,PET,0.883633,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00015,PET_00863,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,14,V1QW_EMB_00015,dinov2-with-registers-base,768,true,768,1.00000015,VALID,,false,0.891315,PET,0.891315,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00016,PET_00986,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,15,V1QW_EMB_00016,dinov2-with-registers-base,768,true,768,1.00000014,VALID,,false,0.327894,PET,0.327894,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00017,PET_01495,PET,datasets/dino_petropolis_terrain_overlap_embeddings_v1qw.csv,16,V1QW_EMB_00017,dinov2-with-registers-base,768,true,768,1.00000002,VALID,,false,0.778089,PET,0.778089,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00018,REC_00019,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,0,V1R8_EMB_00001,dinov2-with-registers-base,768,true,768,1.00000001,VALID,,false,0.505545,PET,0.545046,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00019,REC_00183,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,1,V1R8_EMB_00002,dinov2-with-registers-base,768,true,768,0.99999999,VALID,,false,0.833983,CURITIBA,0.867842,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00020,REC_00204,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,2,V1R8_EMB_00003,dinov2-with-registers-base,768,true,768,1.00000003,VALID,,false,0.778359,CURITIBA,0.792098,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00021,REC_00205,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,3,V1R8_EMB_00004,dinov2-with-registers-base,768,true,768,0.99999983,VALID,,false,0.748953,CURITIBA,0.789688,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00022,REC_00227,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,4,V1R8_EMB_00005,dinov2-with-registers-base,768,true,768,0.99999992,VALID,,false,0.856914,CURITIBA,0.879345,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00023,REC_00260,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,5,V1R8_EMB_00006,dinov2-with-registers-base,768,true,768,0.99999997,VALID,,false,0.365694,RECIFE,0.365694,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00024,REC_00279,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,6,V1R8_EMB_00007,dinov2-with-registers-base,768,true,768,0.99999997,VALID,,false,0.742008,PET,0.745151,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00025,REC_00289,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,7,V1R8_EMB_00008,dinov2-with-registers-base,768,true,768,0.99999998,VALID,,false,0.820121,RECIFE,0.820121,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00026,REC_00290,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,8,V1R8_EMB_00009,dinov2-with-registers-base,768,true,768,0.99999983,VALID,,false,0.824193,PET,0.831612,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00027,REC_00291,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,9,V1R8_EMB_00010,dinov2-with-registers-base,768,true,768,1.00000018,VALID,,false,0.404084,RECIFE,0.404084,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00028,REC_00292,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,10,V1R8_EMB_00011,dinov2-with-registers-base,768,true,768,0.99999992,VALID,,true,1.0,RECIFE,1.0,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00029,REC_00294,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,11,V1R8_EMB_00012,dinov2-with-registers-base,768,true,768,1.00000002,VALID,,false,0.710507,PET,0.733371,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00030,REC_00296,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,12,V1R8_EMB_00013,dinov2-with-registers-base,768,true,768,1.00000006,VALID,,false,0.733018,RECIFE,0.733018,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00031,REC_00302,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,13,V1R8_EMB_00014,dinov2-with-registers-base,768,true,768,1.00000005,VALID,,false,0.768894,PET,0.791559,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00032,REC_00313,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,14,V1R8_EMB_00015,dinov2-with-registers-base,768,true,768,0.99999989,VALID,,false,0.896347,RECIFE,0.896347,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00033,REC_00314,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,15,V1R8_EMB_00016,dinov2-with-registers-base,768,true,768,1.00000003,VALID,,false,0.655783,RECIFE,0.655783,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00034,REC_00354,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,16,V1R8_EMB_00017,dinov2-with-registers-base,768,true,768,1.00000008,VALID,,false,0.678827,RECIFE,0.678827,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00035,REC_00355,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,17,V1R8_EMB_00018,dinov2-with-registers-base,768,true,768,1.00000018,VALID,,false,0.730888,RECIFE,0.730888,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00036,REC_00364,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,18,V1R8_EMB_00019,dinov2-with-registers-base,768,true,768,1.00000002,VALID,,false,0.813266,PET,0.832963,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00037,REC_00458,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,19,V1R8_EMB_00020,dinov2-with-registers-base,768,true,768,1.00000005,VALID,,false,0.770308,CURITIBA,0.799432,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00038,REC_00460,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,20,V1R8_EMB_00021,dinov2-with-registers-base,768,true,768,0.99999991,VALID,,false,0.746235,CURITIBA,0.807045,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00039,REC_00481,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,21,V1R8_EMB_00022,dinov2-with-registers-base,768,true,768,1.0000001,VALID,,false,0.20562,PET,0.207921,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00040,REC_00483,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,22,V1R8_EMB_00023,dinov2-with-registers-base,768,true,768,0.99999996,VALID,,false,0.791258,CURITIBA,0.872424,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00041,REC_00501,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,23,V1R8_EMB_00024,dinov2-with-registers-base,768,true,768,0.99999998,VALID,,false,0.824491,CURITIBA,0.842787,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00042,REC_00502,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,24,V1R8_EMB_00025,dinov2-with-registers-base,768,true,768,0.99999989,VALID,,false,0.810326,RECIFE,0.810326,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00043,REC_00506,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,25,V1R8_EMB_00026,dinov2-with-registers-base,768,true,768,1.00000004,VALID,,false,0.886247,RECIFE,0.886247,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00044,REC_00525,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,26,V1R8_EMB_00027,dinov2-with-registers-base,768,true,768,1.00000002,VALID,,false,0.256599,RECIFE,0.256599,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00045,REC_00548,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,27,V1R8_EMB_00028,dinov2-with-registers-base,768,true,768,1.0000001,VALID,,false,0.527741,RECIFE,0.527741,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00046,REC_00550,RECIFE,datasets/dino_recife_coverage_expansion_embeddings_v1r8.csv,28,V1R8_EMB_00029,dinov2-with-registers-base,768,true,768,0.99999997,VALID,,false,0.716396,RECIFE,0.716396,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00047,REC_NEG_00001,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,0,V1R2_EMB_00001,dinov2-with-registers-base,768,true,768,0.99999987,VALID,,false,0.349278,RECIFE,0.349278,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00048,REC_NEG_00002,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,1,V1R2_EMB_00002,dinov2-with-registers-base,768,true,768,0.99999999,VALID,,false,0.306484,RECIFE,0.306484,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00049,REC_NEG_00003,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,2,V1R2_EMB_00003,dinov2-with-registers-base,768,true,768,0.99999999,VALID,,false,0.816198,CURITIBA,0.889357,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00050,REC_NEG_00004,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,3,V1R2_EMB_00004,dinov2-with-registers-base,768,true,768,1.00000008,VALID,,false,0.816755,PET,0.854356,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00051,REC_NEG_00005,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,4,V1R2_EMB_00005,dinov2-with-registers-base,768,true,768,1.0000001,VALID,,false,0.43638,RECIFE,0.43638,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00052,REC_NEG_00006,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,5,V1R2_EMB_00006,dinov2-with-registers-base,768,true,768,0.99999991,VALID,,false,0.725864,CURITIBA,0.754616,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00053,REC_NEG_00007,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,6,V1R2_EMB_00007,dinov2-with-registers-base,768,true,768,0.99999987,VALID,,false,0.31006,RECIFE,0.31006,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00054,REC_NEG_00008,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,7,V1R2_EMB_00008,dinov2-with-registers-base,768,true,768,1.00000006,VALID,,false,0.375659,RECIFE,0.375659,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00055,REC_NEG_00009,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,8,V1R2_EMB_00009,dinov2-with-registers-base,768,true,768,0.99999999,VALID,,false,0.700042,CURITIBA,0.750644,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00056,REC_NEG_00010,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,9,V1R2_EMB_00010,dinov2-with-registers-base,768,true,768,0.99999982,VALID,,false,0.322105,RECIFE,0.322105,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00057,REC_NEG_00011,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,10,V1R2_EMB_00011,dinov2-with-registers-base,768,true,768,0.99999998,VALID,,false,0.7536,RECIFE,0.7536,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00058,REC_NEG_00012,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,11,V1R2_EMB_00012,dinov2-with-registers-base,768,true,768,0.99999999,VALID,,false,0.839709,RECIFE,0.839709,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00059,REC_NEG_00013,RECIFE,datasets/dino_recife_neg_evidence_embeddings_v1r2.csv,12,V1R2_EMB_00013,dinov2-with-registers-base,768,true,768,1.00000003,VALID,,false,0.301832,RECIFE,0.301832,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00060,REC_00322,RECIFE,datasets/dino_recife_new_official_patches_embeddings_v1r0.csv,0,V1QJ_EMB_00001,dinov2-with-registers-base,768,true,768,0.99999989,VALID,,false,0.291221,RECIFE,0.291221,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00061,REC_00528,RECIFE,datasets/dino_recife_new_official_patches_embeddings_v1r0.csv,1,V1QJ_EMB_00002,dinov2-with-registers-base,768,true,768,1.0,VALID,,false,0.797371,CURITIBA,0.907297,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00062,REC_00299,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,0,V1R3_EMB_00001,dinov2-with-registers-base,768,true,768,0.99999988,VALID,,false,0.36938,RECIFE,0.36938,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00063,REC_00503,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,1,V1R3_EMB_00002,dinov2-with-registers-base,768,true,768,0.99999996,VALID,,false,0.569197,RECIFE,0.569197,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00064,REC_00526,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,2,V1R3_EMB_00003,dinov2-with-registers-base,768,true,768,0.99999994,VALID,,false,0.519396,RECIFE,0.519396,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00065,REC_00505,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,3,V1R3_EMB_00004,dinov2-with-registers-base,768,true,768,0.99999997,VALID,,false,0.802398,CURITIBA,0.882395,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00066,REC_00388,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,4,V1R3_EMB_00005,dinov2-with-registers-base,768,true,768,1.00000004,VALID,,false,0.841399,PET,0.851887,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00067,REC_00482,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,5,V1R3_EMB_00006,dinov2-with-registers-base,768,true,768,0.99999982,VALID,,false,0.64923,RECIFE,0.64923,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00068,REC_00276,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,6,V1R3_EMB_00007,dinov2-with-registers-base,768,true,768,0.99999989,VALID,,false,0.27284,RECIFE,0.27284,true,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00069,REC_00529,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,7,V1R3_EMB_00008,dinov2-with-registers-base,768,true,768,0.99999996,VALID,,false,0.884314,CURITIBA,0.890479,false,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00070,REC_00322,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,8,V1R3_EMB_00009,dinov2-with-registers-base,768,true,768,0.99999989,BLOCKED,DUPLICATA_IDENTICA_DE_PATCH_JA_ACEITO,,,,,,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00071,REC_00528,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,9,V1R3_EMB_00010,dinov2-with-registers-base,768,true,768,1.0,BLOCKED,DUPLICATA_IDENTICA_DE_PATCH_JA_ACEITO,,,,,,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00072,REC_NEG_00001,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,10,V1R3_EMB_00011,dinov2-with-registers-base,768,true,768,0.99999987,BLOCKED,DUPLICATA_IDENTICA_DE_PATCH_JA_ACEITO,,,,,,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00073,REC_NEG_00002,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,11,V1R3_EMB_00012,dinov2-with-registers-base,768,true,768,0.99999999,BLOCKED,DUPLICATA_IDENTICA_DE_PATCH_JA_ACEITO,,,,,,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
DGOV_V2FG_00074,REC_NEG_00003,RECIFE,datasets/dino_recife_sedec_all_embeddings_v1r3.csv,12,V1R3_EMB_00013,dinov2-with-registers-base,768,true,768,0.99999999,BLOCKED,DUPLICATA_IDENTICA_DE_PATCH_JA_ACEITO,,,,,,"Resultado estrutural destinado a revisao. Nao constitui ground truth operacional, confirmacao de evento observado, classe, label, predicao ou treinamento supervisionado."
