requirement_id,dossier_id,region,candidate_event_name,requirement_type,required_evidence,target_gate,required_source_strength,minimum_acceptance_criteria,current_status,blocking_if_missing,acquisition_path,review_needed,allowed_if_satisfied,forbidden_if_missing,notes
REQ_PET_2022_G1,DOS_PET_2022,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",EVENT_CONFIRMATION,"Relatório oficial da Defesa Civil Municipal de Petrópolis ou laudo CPRM confirmando evento de fevereiro 2022 com separação entre inundação e deslizamento",G1_EVENT_CONFIRMATION,OFFICIAL_DOCUMENTATION,"Documento institucional com confirmação de inundação como tipo de evento; separação de processo inundação-deslizamento documentada",PARTIAL,true,"Busca no portal RIGeo CPRM; solicitação formal à Defesa Civil Petrópolis",true,"Refinamento de evidência temporal e espacial sobre patches","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","PARTIAL porque contexto nacional sugere documentação existente (PENDING_SOURCE_REVIEW) mas fonte local não foi adquirida. Separação inundação-deslizamento é condição obrigatória para G1."
REQ_PET_2022_G3,DOS_PET_2022,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",TEMPORAL_EVIDENCE,"Asset Sentinel-2 L2A com data dentro de 14 dias de fevereiro 2022 e baixa cobertura de nuvem sobre Petrópolis",G3_TEMPORAL_ALIGNMENT,OPERATIONAL_ALGORITHMIC,"Data do asset Sentinel-2 na janela de fevereiro 2022; cobertura de nuvem inferior a 30%; alternativa SAR documentada se cobertura for alta",MISSING,true,"Consulta ao Copernicus Data Space; avaliar cobertura de nuvem em fevereiro 2022; considerar Sentinel-1 SAR como complemento",true,"Avaliação de alinhamento temporal","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION","Risco de cobertura de nuvem em fevereiro é significativo. SAR pode ser necessário mas não está no backlog atual."
REQ_PET_2022_G4,DOS_PET_2022,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",SPATIAL_EVIDENCE,"Geometria de área afetada por inundação (não deslizamento) com sobreposição sobre patches do corpus de Petrópolis",G4_SPATIAL_ALIGNMENT,OFFICIAL_DOCUMENTATION,"Polígono de inundação com CRS e sobreposição verificada; separação do polígono de deslizamento documentada",MISSING,true,"Solicitação de mapa de área afetada à Defesa Civil; verificação de separação de processo por revisor especialista",true,"Vínculo patch-evento de inundação pode ser avaliado","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Separação inundação-deslizamento é crítica: G4 só pode ser fechado para área de inundação, não para toda área afetada pelo evento de fevereiro 2022."
REQ_PET_2022_G7,DOS_PET_2022,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",REVIEW_GATE,"Revisão por especialista com separação documentada entre inundação e deslizamento e avaliação do vínculo patch-evento",G7_REVIEW_GATE,EXPERT_ANNOTATION,"Registro em review_gate_reference_registry.csv com tipo de processo confirmado e sobreposição avaliada",MISSING,true,"Após satisfação de G1–G6; especialista deve ter familiaridade com processos de multi-hazard",true,"Avançar para corroboração independente e decisão de promoção","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Especialidade em separação de processos é obrigatória — revisor genérico insuficiente para Petrópolis."
REQ_PET_2022_G9,DOS_PET_2022,PETROPOLIS,"Evento Petrópolis — fevereiro 2022",PROMOTION_DECISION,"Decisão formal de promoção após satisfação de G1–G8 com separação de processo documentada",G9_PROMOTION_DECISION,DIRECT_OBSERVATION,"Todos os gates G1–G8 satisfeitos; separação inundação-deslizamento confirmada",MISSING,true,"Após todos os gates",true,"Promoção a referência operacional para componente de inundação","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","Promoção possível apenas para componente de inundação — deslizamento deve ser excluído da referência."
REQ_CUR_2022_G1,DOS_CUR_2022,CURITIBA,"Alagamento urbano Curitiba — 2022",EVENT_CONFIRMATION,"Relatório oficial da Defesa Civil Municipal de Curitiba confirmando evento específico de alagamento urbano em 2022",G1_EVENT_CONFIRMATION,OFFICIAL_DOCUMENTATION,"Documento com data específica e localização do alagamento; período anual deve ser refinado para evento específico",MISSING,true,"Solicitação formal à Defesa Civil Curitiba; pode ser bundled com 2023",true,"Refinamento do período anual; avaliação de evidência temporal e espacial","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Curitiba é região de contraste metodológico. Defesa Civil Curitiba tem registros bem organizados. Período anual deve ser refinado após resposta institucional."
REQ_CUR_2022_G3,DOS_CUR_2022,CURITIBA,"Alagamento urbano Curitiba — 2022",TEMPORAL_EVIDENCE,"Asset Sentinel-2 L2A com data próxima ao evento específico identificado em 2022",G3_TEMPORAL_ALIGNMENT,OPERATIONAL_ALGORITHMIC,"Data do asset Sentinel-2 dentro de 14 dias do evento específico; boa cobertura sobre área urbana de Curitiba",MISSING,true,"Consulta ao Copernicus Data Space após identificação do evento específico",true,"Avaliação de alinhamento temporal","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION","Depende de G1."
REQ_CUR_2022_G4,DOS_CUR_2022,CURITIBA,"Alagamento urbano Curitiba — 2022",SPATIAL_EVIDENCE,"Mapa ou polígono de área de alagamento com sobreposição sobre patches do corpus de Curitiba",G4_SPATIAL_ALIGNMENT,OFFICIAL_DOCUMENTATION,"Polígono de área afetada com CRS e sobreposição verificada por revisor humano sobre patches",MISSING,true,"Solicitação de mapa à Defesa Civil; GeoCuritiba como referência espacial baseline (não fecha G4)",true,"Vínculo patch-evento pode ser avaliado","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","GeoCuritiba é referência espacial de contexto — não fecha G4. G4 requer evidência observacional do evento."
REQ_CUR_2022_G7,DOS_CUR_2022,CURITIBA,"Alagamento urbano Curitiba — 2022",REVIEW_GATE,"Revisão supervisora documentada de evidência reunida para evento específico de 2022 em Curitiba",G7_REVIEW_GATE,EXPERT_ANNOTATION,"Registro em review_gate_reference_registry.csv",MISSING,true,"Após satisfação de G1–G6",true,"Avançar para G8 e G9","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Obrigatório para Curitiba como para todas as regiões."
REQ_CUR_2022_G9,DOS_CUR_2022,CURITIBA,"Alagamento urbano Curitiba — 2022",PROMOTION_DECISION,"Decisão formal de promoção após satisfação de G1–G8",G9_PROMOTION_DECISION,DIRECT_OBSERVATION,"Todos os gates G1–G8 satisfeitos",MISSING,true,"Após todos os gates",true,"Promoção a referência operacional","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","Não atingível no estado atual."
REQ_CUR_2023_G1,DOS_CUR_2023,CURITIBA,"Alagamento urbano Curitiba — 2023",EVENT_CONFIRMATION,"Relatório oficial da Defesa Civil Municipal de Curitiba confirmando evento específico de alagamento urbano em 2023",G1_EVENT_CONFIRMATION,OFFICIAL_DOCUMENTATION,"Documento com data específica e localização; bundling com 2022 possível na mesma solicitação",MISSING,true,"Bundling com solicitação de 2022 à Defesa Civil Curitiba",true,"Refinamento do período; avaliação de evidência temporal e espacial","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Prioridade MEDIUM — pode aguardar resposta da Defesa Civil que já cobre 2022-2023."
REQ_CUR_2023_G3,DOS_CUR_2023,CURITIBA,"Alagamento urbano Curitiba — 2023",TEMPORAL_EVIDENCE,"Asset Sentinel-2 L2A com data próxima ao evento específico identificado em 2023",G3_TEMPORAL_ALIGNMENT,OPERATIONAL_ALGORITHMIC,"Data do asset Sentinel-2 dentro de 14 dias do evento específico identificado",MISSING,true,"Consulta ao Copernicus Data Space após identificação do evento específico",true,"Avaliação de alinhamento temporal","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION","Depende de G1."
REQ_CUR_2023_G4,DOS_CUR_2023,CURITIBA,"Alagamento urbano Curitiba — 2023",SPATIAL_EVIDENCE,"Mapa ou polígono de área de alagamento em 2023 com sobreposição sobre patches do corpus de Curitiba",G4_SPATIAL_ALIGNMENT,OFFICIAL_DOCUMENTATION,"Polígono com CRS e sobreposição verificada por revisor humano",MISSING,true,"Solicitação de mapa à Defesa Civil após confirmação de evento específico",true,"Vínculo patch-evento pode ser avaliado","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Depende de G1 e G7."
REQ_CUR_2023_G7,DOS_CUR_2023,CURITIBA,"Alagamento urbano Curitiba — 2023",REVIEW_GATE,"Revisão supervisora documentada de evidência reunida para evento específico de 2023 em Curitiba",G7_REVIEW_GATE,EXPERT_ANNOTATION,"Registro em review_gate_reference_registry.csv",MISSING,true,"Após satisfação de G1–G6",true,"Avançar para G8 e G9","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Obrigatório."
REQ_CUR_2023_G9,DOS_CUR_2023,CURITIBA,"Alagamento urbano Curitiba — 2023",PROMOTION_DECISION,"Decisão formal de promoção após satisfação de G1–G8",G9_PROMOTION_DECISION,DIRECT_OBSERVATION,"Todos os gates G1–G8 satisfeitos",MISSING,true,"Após todos os gates",true,"Promoção a referência operacional","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","Não atingível no estado atual."
