decision_id,patch_id,gate_name,gate_passed,gate_status,required_condition,observed_value,severity,blocking_reason,recommended_action
PBD_522c3f776411,CUR_00357,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_8f9c191a142f,CUR_00357,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_5345aa81a75c,CUR_00357,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_eed5cfc5de0d,CUR_00357,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_e8f243ea8faf,CUR_00357,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_1f0a64fa216a,CUR_00357,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_250ed3b49bba,CUR_00367,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00367,BLOCKING,,None
PBD_3eff733ca92d,CUR_00367,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_c4ee328b5226,CUR_00367,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_b8ca1f27e5ad,CUR_00367,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_20a5cd103d96,CUR_00367,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_8b97d7317882,CUR_00367,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_0ac42eee2def,CUR_00367,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_7af28b68a28e,CUR_00367,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_f0fb73a84a72,CUR_00367,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_b45aeb245f37,CUR_00367,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_448f97d409be,CUR_00402,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00402,BLOCKING,,None
PBD_bb838fa4db22,CUR_00402,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_ba8841d425ea,CUR_00402,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_3a0521788087,CUR_00402,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_f2a2c1ff4646,CUR_00402,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_a6a916a33d9c,CUR_00402,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_49d2931839a4,CUR_00402,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_ccae463b8916,CUR_00402,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_8851ef719cc3,CUR_00402,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_81556a66960b,CUR_00402,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_d001b8ea6605,CUR_00409,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00409,BLOCKING,,None
PBD_a35eda295e0d,CUR_00409,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_25ed95b16cff,CUR_00409,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_27c0ddefaac9,CUR_00409,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_7b4eb4b61509,CUR_00409,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_4399bd3b330e,CUR_00409,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_0eb4856d3cb6,CUR_00409,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_4ed474252efa,CUR_00409,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_b0151194e48a,CUR_00409,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_1d9e4b858d38,CUR_00409,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_6c884a7ce056,CUR_00410,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00410,BLOCKING,,None
PBD_9640e2d7dbe7,CUR_00410,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_2fe2ce40d3bc,CUR_00410,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_10dc2efedec8,CUR_00410,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_33f3b5c097d3,CUR_00410,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_6068d136629a,CUR_00410,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_382c7f52d3c0,CUR_00410,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_3b9cce640198,CUR_00410,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_e6ea67c968f3,CUR_00410,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_3613100d0f34,CUR_00410,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_faec3f9a8789,CUR_00413,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00413,BLOCKING,,None
PBD_3496a219b67a,CUR_00413,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_23cb613ed829,CUR_00413,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_a3b4199694d0,CUR_00413,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_457074c8b107,CUR_00413,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_42d4606fa56d,CUR_00413,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_5dbdf5e2f7f8,CUR_00413,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_f52edb061f06,CUR_00413,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_4807c6b403c6,CUR_00413,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_47bbdbac1f51,CUR_00413,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_6a57b11a5819,CUR_00416,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00416,BLOCKING,,None
PBD_997aa7906c1e,CUR_00416,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_dbe511cb3c9d,CUR_00416,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_6c9cbd7ad631,CUR_00416,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_97f941a7ea56,CUR_00416,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_38859d3b48bc,CUR_00416,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_ff0d77a47041,CUR_00416,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_b5ec41be750c,CUR_00416,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_1c7697189b7e,CUR_00416,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_3c04f18a2d13,CUR_00416,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_b052e6b735a2,CUR_00445,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00445,BLOCKING,,None
PBD_b289261a2a34,CUR_00445,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_1b3b4a0eb79c,CUR_00445,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_7075b3821d4a,CUR_00445,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_46738876e12c,CUR_00445,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_fb3e7ff0c6b0,CUR_00445,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_822672b36b2f,CUR_00445,PATCH_BOUNDARY_GATE_07_AREA_COMPUTABLE,false,FAIL,polygon area computable,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_4d62a7d4d6e0,CUR_00445,PATCH_BOUNDARY_GATE_08_NOT_BUILT_FROM_UNVERIFIED_DEFAULT,true,PASS,boundary not fabricated from an unverified default size,not_default,GUARDRAIL,,None
PBD_a2e3ba917fb5,CUR_00445,PATCH_BOUNDARY_GATE_09_NO_EVENT_LABEL_CREATED,true,PASS,no event label / ground truth created,no_label_created,GUARDRAIL,,None
PBD_d6c80e6b4152,CUR_00445,PATCH_BOUNDARY_GATE_10_READY_FOR_V2AU_OVERLAY,false,PENDING,patch boundary ready for v2au overlay,false,INFO,,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_5f682ae2a916,CUR_00446,PATCH_BOUNDARY_GATE_01_PATCH_ID_EXISTS,true,PASS,typed patch_id present,CUR_00446,BLOCKING,,None
PBD_375e8e1df218,CUR_00446,PATCH_BOUNDARY_GATE_02_SOURCE_METADATA_FOUND,false,FAIL,spatial source metadata found,none,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_f5716a2cd134,CUR_00446,PATCH_BOUNDARY_GATE_03_CRS_EXISTS,false,FAIL,CRS present,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_32551b8daee9,CUR_00446,PATCH_BOUNDARY_GATE_04_CRS_ACCEPTED,false,FAIL,CRS in accepted list,UNKNOWN,BLOCKING,NO_SPATIAL_METADATA_FOUND,Resolve the patch CRS to an accepted EPSG code
PBD_0aa26351c458,CUR_00446,PATCH_BOUNDARY_GATE_05_BOUNDARY_METHOD_ALLOWED,false,FAIL,a build method is available/allowed,NONE,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
PBD_9a65d69b3d04,CUR_00446,PATCH_BOUNDARY_GATE_06_GEOMETRY_VALID,false,FAIL,geometry parses to a valid polygon,false,BLOCKING,NO_SPATIAL_METADATA_FOUND,Acquire/digitize patch boundary geometry (bbox/WKT/GeoJSON) with CRS
