id,ambito,lacuna_encontrada,evidencia_arquivo,impacto_cientifico,impacto_tecnico,gate_ou_dia_afetado,severidade,tipo,acao_recomendada,pode_resolver_agora,depende_dado_externo,prioridade
GAP_011,Viés_cidade,Corpus de 128 assets: 43 Curitiba + 48 Petrópolis + 37 Recife — distribuição desequilibrada antes de canonização,datasets/patch_corpus_registry.csv,Análise intercidade tem desequilíbrio estrutural agravado pela ausência de PNG em Recife/Petrópolis,CUR=43 PET=48 REC=37 no manifesto; mas PNG canônico CUR=43 PET=3 REC=2,DIA_08,ALTA,viés,Exportar PNG canônicos de PET e REC; considerar leave-one-city-out na análise label-free,nao,sim,P2
GAP_012,Embeddings,Composição de bandas e normalização Sentinel→encoder DINOv2 não documentada no manifesto público,datasets/dino_embedding_feature_store_registry_v1ph.csv — sem coluna bands/normalization,Reprodutibilidade do embedding não garantida; crítica C04 da banca,Manifesto v1fu tem asset_path_reference mas sem banda, normalização ou composição RGB,DIA_08 reprodutibilidade,ALTA,reprodutibilidade,Registrar pipeline Sentinel→encoder: bandas, normalização, CRS de entrada e composição RGB,sim,nao,P1
GAP_013,Embeddings,12 embeddings DINOv2 originais (v1fz/v1ge) sem data de aquisição confirmada por patch,outputs_public/mv2_representation/embedding_inventory_summary.json — assets_with_valid_date=0,Confound temporal sobre o único resultado numérico do piloto; crítica C16 da banca,Inventory_summary mostra embedding_missing_count=116 e 0 com date,G2 DIA_08,ALTA,dado_faltante,Registrar datetime de aquisição dos 12 patches antes de qualquer publicação de resultado,nao,sim,P1
GAP_014,Testes,Guardrail unknown≠negativo não tem checagem programática — apenas prosa/CSV,outputs_public/tables/revp_guardrails_validacao_label_free_mv1.csv,Violação não é capturada automaticamente; risco de regressão metodológica,Guardrail existe textualmente; test automatizado ausente,G6,CRITICA,teste_faltante,Criar test_guardrail_unknown_nao_vira_negativo.py com assert que falha se unknown→label,sim,nao,P1
GAP_015,Testes,Guardrail cidade≠label não tem checagem programática,outputs_public/tables/revp_guardrails_validacao_label_free_mv1.csv,Curitiba pode ser usada como classe negativa por acidente; crítica C09,Guardrail textual existe; teste automatizado ausente,G6,CRITICA,teste_faltante,Criar test_city_as_label_blocked.py; assert falha se campo cidade for usado como label,sim,nao,P1
GAP_016,Testes,Risco de confusão PNG/raster espectral não tem assert automático na feature table,outputs_public/mv2_visual_embeddings/canonical_visual_baseline_features.csv,Código futuro pode erroneamente tratar features visuais como espectrais,canonical_visual_baseline_features.csv tem is_spectral_baseline=false mas sem teste que rejeite features espectrais falsas,DIA_10,CRITICA,teste_faltante,Criar test_spectral_features_not_visual_rendered.py; assert is_spectral_baseline=true antes de qualquer uso espectral,sim,nao,P1
GAP_017,Scripts,Nenhum script de inventário temporal unificado que consolide datetime+cloud+sensor por patch em arquivo único,—,Bloqueio de Trilha A não é detectável automaticamente; cada MV2 redescobre o bloqueio independentemente,MV2-01/02/03 fazem auditorias separadas sem tabela mestra única,DIA_02 DIA_03,ALTA,script_faltante,Criar consolidar_tabela_temporal_por_patch.py como produto único de verdade temporal,nao,sim,P2
GAP_018,Schemas,Schema de evento com geometria fechada ausente; apenas GeoJSON candidates com geometry=null,datasets/schemas/ — nenhum schema para evento_fechado,Ausência de contrato formal para o que significa um evento "aprovado" com geometria,v2aq_event_geometry_patch_link tem schema para evento candidato não para evento aprovado,G2 G3,ALTA,schema_faltante,Criar schema_event_geometry_fechado.json com campos: event_id geometry CRS status source reviewed_by,sim,nao,P2
GAP_019,Reprodutibilidade,Embeddings DINOv2 existentes (12) derivam de inputs em local_runs/dino_embeddings (git-ignored); não reproduzíveis externamente,datasets/patch_corpus_registry.csv — campo local_assets_status=EXISTS + manifests/dino_inputs/,Terceiro não pode reproduzir o resultado central sem o workspace local privado,manifests/dino_inputs têm paths; vetores .npz em local_runs não versionados,DIA_08 reprodutibilidade,ALTA,reprodutibilidade,Criar manifesto de reprodução com hashes SHA256 dos .npz + instruções step-by-step + script verificador,sim,nao,P2
GAP_020,Claims,Relatório MV2-10 usa "DINOv2 offline executor status: READY_OFFLINE" sem explicitar que embeddings são de PNG visual não espectral,outputs_public/mv2_dinov2_hardening/MV2_10_DINOV2_OFFLINE_AND_VISUAL_CONFOUNDER_HARDENING_REPORT.md,Leitores podem inferir que DINOv2 foi aplicado sobre dados Sentinel espectrais,O relatório menciona PNG canônico privado mas a distinção visual/espectral pode não estar clara o suficiente,DIA_08,ALTA,claim_arriscado,Reforçar em texto que o executor DINOv2 operou sobre PNG renderizado (visual) não sobre raster Sentinel espectral; adicionar advertência explícita,sim,nao,P1
GAP_021,Claims,Terminologia "silver candidate" em MV2-06 para candidatos adjudicados por IA pode ser confundida com silver set formal,outputs_public/mv2_ai_adjudication/ai_silver_candidate_matrix.csv,Leitura como silver formal quando são apenas candidatos exploratórios de IA,ai_silver_candidates=8 no summary; mas silver_formais=0; formal_protocol_exists=false,DIA_19,MEDIA,claim_arriscado,Renomear campo para ai_exploratory_candidate ou adicionar aviso explícito que ai_silver ≠ silver formal,sim,nao,P2
GAP_022,Silver_set,Silver set=0; formal_protocol_exists=false; candidatos IA não são silver,outputs_public/mv2_review_readiness/silver_readiness_summary.json,Dia 19 bloqueado; sem silver não há treino,silver_ready_items=0; can_train=false,DIA_19 G5,CRITICA,bloqueio_metodologico,Resolver primeiro: positivos formais + geometria + revisão humana; depois criar protocolo de silver,nao,sim,P1
GAP_023,Splits,Splits existem apenas como grupos de cidade; can_create_train_test_split=false,outputs_public/mv2_review_readiness/spatial_split_readiness.csv,Dia 21 bloqueado; divisão por cidade é o próprio confounder a controlar,spatial_split_groups=3 mas apenas por região; sem split_by_event e sem anti-leakage por item,DIA_21,ALTA,bloqueio_metodologico,Aguardar positivos+negativos+anti-leakage; criar split por evento/spatial_block ao ter dados reais,nao,sim,P2
GAP_024,Protocolo_C,Protocolo C cadeia completa (v2ca-v2ch) produzida mas Curitiba ainda bloqueada por ausência de geometria,outputs_public/execution_reports/revp_curitiba_v2ca_v2cg_release_report_v2ch.md,Curitiba sem geometria de evento = coorte bloqueado para análise de evidência observacional,gate=CURITIBA_VALID_EVENT_GEOMETRY_REQUIRED; cadeia completa mas plateau atingido,G2 G3,ALTA,bloqueio_metodologico,Aguardar geometria Curitiba (via EXT_011); cadeia v2ca→v2cg já pronta para rodar com dado real,nao,sim,P2
GAP_025,Protocolo_C,Petrópolis = cohort separado de mass_movement; não misturar com flood,outputs_public/execution_reports/revp_v2cs_to_v2cw_integrated_report.md,Mistura de cohorts invalida análise; PET_2022_02_15 é landslide não flood,cohort=MASS_MOVEMENT_SEPARATE_COHORT em memória; risco de cross-cohort em scripts futuros,G2,ALTA,bloqueio_metodologico,Criar schema e teste que bloqueiam PET landslide de entrar em cohort de flood; manter separação explícita,sim,nao,P1
GAP_026,Testes,Testes MV2 existem por marco (MV2-01 a MV2-10) mas nenhum cobre cobertura balanceada intercidade,tests/test_mv2_* (verificado via git show MV2 commits),Corpus desbalanceado pode passar nos testes sem que o viés seja detectado,tests testam formato/existência mas não distributição por cidade,DIA_08,ALTA,teste_faltante,Criar test_dinov2_coverage_balanced.py; assert cobertura REC>50% e PET>50% (falha enquanto desbalanceado),sim,nao,P2
GAP_027,Reprodutibilidade,README de reprodução externa não existe como documento standalone auditável por terceiro,outputs_public/README.md existe mas focado em navegação; sem script verificador e instruções de re-download,Banca não pode verificar outputs sem README de reprodução,checklist_reproducao_publica_marco_mv1.csv existe mas não é instrução standalone,reprodutibilidade,MEDIA,reprodutibilidade,Criar README_reproducao_externa.md com: (1) passos (2) URLs (3) hashes (4) ambiente (5) comando de verificação,sim,nao,P2
GAP_028,Testes,Suíte de testes v1uc-v1ue (terminologia pública) e testes de Protocolo C têm falhas pré-existentes não relacionadas a MV2,tests/ — conftest.py cita suíte global com problemas pré-existentes (v1lj-v1lq_common ausente),Testes globais não são gate limpo; falhas mascaradas,Falhas pré-existentes: suíte _common ausente + testes DINO travam,testes,MEDIA,teste_faltante,Isolar e documentar falhas pré-existentes; criar suite MV2 isolada com gate limpo,sim,nao,P2
